                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3734,                 3.6015,                 1.6975,                0.01443,                 0.7914,                0.11904,                0.07384,                 1.2087,                  3.981,                 1.6033,             0.00023324,             0.00023324,             0.00023324
                      2,                 1.2665,                 3.0559,                  1.576,                0.36405,                0.23427,                0.12774,                0.08209,                 1.2755,                 3.4266,                  1.811,             0.00047246,             0.00047246,             0.00047246
                      3,                 1.2953,                 2.8915,                 1.6238,                0.25508,                0.24887,                0.17807,                0.11021,                  1.393,                 3.2271,                 1.7654,             0.00070929,             0.00070929,             0.00070929
                      4,                 1.3222,                 2.7802,                  1.618,                0.15129,                0.33204,                0.18708,                0.11416,                 1.3553,                 3.0987,                 1.7797,             0.00082063,             0.00082063,             0.00082063
                      5,                 1.3234,                 2.7054,                 1.6035,                0.14585,                0.31164,                0.24099,                 0.1254,                 1.5378,                 3.1408,                 1.9973,             0.00081651,             0.00081651,             0.00081651
                      6,                 1.3397,                 2.4545,                 1.5897,                0.48629,                 0.3276,                0.29475,                0.16615,                 1.5756,                 3.1181,                  2.027,             0.00081238,             0.00081238,             0.00081238
                      7,                 1.2904,                 2.3468,                 1.5706,                0.23795,                0.51526,                0.28114,                0.18177,                 1.3472,                 2.6023,                  1.762,             0.00080826,             0.00080826,             0.00080826
                      8,                 1.2978,                 2.3953,                 1.5752,                0.27069,                0.32871,                0.27413,                0.14273,                 1.7832,                 3.8368,                 2.1331,             0.00080414,             0.00080414,             0.00080414
                      9,                 1.3225,                 2.2541,                 1.5709,                0.52081,                0.39977,                0.36329,                0.21235,                 1.2724,                 2.8601,                 1.6997,             0.00080001,             0.00080001,             0.00080001
                     10,                 1.2522,                 2.2291,                 1.5464,                0.19232,                0.35747,                0.25108,                0.13856,                 1.3946,                  3.473,                 1.8669,             0.00079589,             0.00079589,             0.00079589
                     11,                 1.2969,                 2.2316,                  1.589,                0.52463,                0.30258,                0.31027,                0.17244,                 1.5043,                 2.6317,                 1.8902,             0.00079177,             0.00079177,             0.00079177
                     12,                 1.1889,                 2.0538,                 1.4798,                0.47569,                0.28414,                0.32323,                0.18883,                 1.4679,                 2.6538,                 1.8631,             0.00078764,             0.00078764,             0.00078764
                     13,                 1.2123,                  2.083,                 1.5081,                0.22242,                0.48539,                0.33348,                0.18348,                 1.7486,                  2.472,                 2.0801,             0.00078352,             0.00078352,             0.00078352
                     14,                 1.2043,                 2.0412,                 1.4903,                0.42316,                0.42181,                 0.3877,                0.23545,                 1.5071,                 2.6322,                 1.8254,              0.0007794,              0.0007794,              0.0007794
                     15,                 1.1583,                 1.9382,                 1.4263,                 0.3194,                0.47951,                0.41915,                0.26539,                 1.3227,                 2.2879,                 1.6855,             0.00077527,             0.00077527,             0.00077527
                     16,                 1.1793,                 1.9565,                  1.457,                0.43242,                0.39279,                0.37953,                0.24688,                 1.3284,                 2.2352,                 1.6476,             0.00077115,             0.00077115,             0.00077115
                     17,                 1.2021,                 1.9141,                 1.4951,                0.45318,                0.42345,                0.40204,                0.26301,                 1.3649,                 2.3101,                 1.7134,             0.00076703,             0.00076703,             0.00076703
                     18,                 1.1487,                 1.8597,                 1.4488,                0.47075,                 0.4893,                0.44495,                0.28232,                 1.4251,                 1.9987,                 1.7341,              0.0007629,              0.0007629,              0.0007629
                     19,                 1.1725,                 1.8172,                 1.4534,                0.53624,                0.44563,                0.44156,                0.28116,                 1.3521,                 2.3587,                 1.7262,             0.00075878,             0.00075878,             0.00075878
                     20,                 1.1323,                 1.7308,                 1.4316,                0.34658,                0.50538,                0.45981,                0.29078,                 1.4187,                 1.9563,                 1.6986,             0.00075466,             0.00075466,             0.00075466
                     21,                 1.1274,                 1.7143,                 1.4193,                0.33678,                0.46767,                0.48323,                0.30446,                 1.3234,                  1.906,                 1.6632,             0.00075053,             0.00075053,             0.00075053
                     22,                 1.1369,                 1.6883,                 1.4464,                0.68631,                0.39952,                0.46051,                0.29862,                 1.2117,                 1.8464,                 1.5651,             0.00074641,             0.00074641,             0.00074641
                     23,                 1.1311,                 1.6841,                 1.4312,                0.52293,                0.46231,                0.49905,                0.33248,                 1.2912,                 1.8397,                 1.6081,             0.00074229,             0.00074229,             0.00074229
                     24,                 1.1171,                 1.6209,                 1.4258,                0.53999,                0.41783,                0.44448,                0.29721,                 1.2416,                 1.8752,                 1.6167,             0.00073816,             0.00073816,             0.00073816
                     25,                  1.099,                 1.5722,                 1.3848,                0.54214,                0.46726,                0.47909,                0.28644,                 1.6221,                 2.2288,                 1.9663,             0.00073404,             0.00073404,             0.00073404
                     26,                 1.1035,                 1.6293,                 1.4088,                0.44064,                0.54051,                0.49971,                0.30838,                 1.4368,                 2.0986,                 1.7629,             0.00072992,             0.00072992,             0.00072992
                     27,                 1.0768,                 1.5641,                 1.3912,                0.41487,                  0.461,                0.47235,                0.31198,                 1.4402,                 1.7839,                 1.7443,             0.00072579,             0.00072579,             0.00072579
                     28,                 1.1605,                 1.5646,                 1.3955,                0.55468,                    0.5,                0.50443,                0.32055,                 1.3777,                 1.6998,                 1.6493,             0.00072167,             0.00072167,             0.00072167
