                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3662,                 3.5165,                 1.7407,                0.24752,                0.34845,                0.10735,                0.06044,                  1.445,                 2.7437,                 2.0482,              0.0033117,              0.0033117,              0.0033117
                      2,                 1.3027,                 2.8504,                 1.6487,                0.22322,                0.39195,                0.18518,                0.10108,                 1.4757,                 2.6249,                 2.0774,              0.0066384,              0.0066384,              0.0066384
                      3,                 1.3382,                 2.6383,                  1.661,                 0.4697,                0.33989,                0.29158,                0.14938,                 1.5039,                  2.315,                 2.1812,              0.0099586,              0.0099586,              0.0099586
                      4,                 1.3999,                 2.5225,                 1.7015,                0.23242,                0.42404,                0.24025,                0.12511,                  1.659,                  2.478,                 2.2835,              0.0099703,              0.0099703,              0.0099703
                      5,                  1.377,                 2.3554,                 1.6774,                0.23789,                0.39858,                0.29125,                0.16046,                 1.4985,                 2.1771,                 2.0554,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.3592,                 2.2146,                 1.6617,                0.31879,                0.39327,                0.31376,                 0.1764,                 1.4441,                 2.1343,                 2.0327,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.3658,                 2.1154,                 1.6564,                0.42529,                0.46831,                0.41163,                 0.2302,                  1.469,                  1.759,                 2.1217,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.3423,                 2.0088,                  1.644,                0.50992,                 0.3277,                0.29748,                0.17789,                 1.4594,                  2.545,                 2.0505,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.3176,                 1.9328,                 1.6198,                0.53482,                0.40616,                0.40276,                 0.2375,                 1.4091,                 1.7921,                 1.9678,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.2931,                 1.8559,                 1.6062,                0.29976,                0.34588,                0.27983,                 0.1516,                 1.7151,                  2.355,                 2.3389,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.2869,                 1.8248,                 1.5964,                0.26797,                0.40891,                0.34972,                0.19409,                 1.4733,                  2.041,                 1.9787,               0.009901,               0.009901,               0.009901
                     12,                 1.2634,                 1.7623,                 1.5715,                0.51858,                0.37178,                0.38731,                  0.235,                 1.4507,                 1.9018,                 2.0492,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.2512,                 1.6812,                  1.575,                0.32286,                0.46443,                0.38538,                0.23786,                 1.3909,                  2.124,                 1.9155,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.2567,                 1.6963,                 1.5607,                0.42309,                0.43846,                 0.4238,                0.25483,                 1.3337,                 1.8485,                 1.8738,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.2454,                 1.6712,                 1.5642,                0.42228,                0.47329,                0.48312,                0.28145,                 1.4373,                 1.7039,                 1.9588,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.2308,                 1.6111,                 1.5424,                   0.58,                0.51168,                0.49949,                0.31731,                 1.3574,                 1.5628,                 1.8918,              0.0098515,              0.0098515,              0.0098515
                     17,                 1.2341,                 1.5955,                 1.5362,                0.42795,                 0.5471,                0.50938,                0.33236,                 1.3035,                 1.4951,                 1.8232,              0.0098416,              0.0098416,              0.0098416
                     18,                 1.1928,                 1.5445,                 1.5209,                0.63222,                0.48852,                0.56665,                0.34683,                 1.3502,                 1.4016,                 1.8748,              0.0098317,              0.0098317,              0.0098317
                     19,                  1.207,                 1.5258,                 1.5273,                0.43323,                0.49574,                0.49165,                 0.3226,                  1.301,                 1.5129,                 1.8533,              0.0098218,              0.0098218,              0.0098218
                     20,                 1.1884,                 1.4591,                 1.5131,                0.44926,                0.52655,                0.50896,                0.31469,                 1.3616,                 1.5004,                 1.8909,              0.0098119,              0.0098119,              0.0098119
                     21,                  1.173,                 1.4748,                 1.5002,                0.51473,                0.54537,                0.51155,                0.32699,                 1.3312,                  1.514,                 1.8503,               0.009802,               0.009802,               0.009802
                     22,                 1.1605,                 1.3979,                 1.4783,                0.58804,                0.47099,                0.52191,                0.33515,                 1.3435,                 1.4716,                 1.8352,              0.0097921,              0.0097921,              0.0097921
                     23,                 1.1655,                 1.4278,                 1.4853,                0.49795,                0.49773,                0.44623,                0.27701,                 1.3257,                 1.6677,                 1.8574,              0.0097822,              0.0097822,              0.0097822
                     24,                 1.1482,                  1.409,                  1.485,                0.53924,                0.56419,                0.55934,                0.36194,                 1.2689,                 1.4411,                 1.7979,              0.0097723,              0.0097723,              0.0097723
                     25,                 1.1495,                 1.3712,                 1.4789,                 0.4588,                0.57583,                 0.5275,                0.34786,                 1.3108,                 1.3693,                 1.8341,              0.0097624,              0.0097624,              0.0097624
                     26,                 1.1469,                 1.3278,                 1.4737,                0.44312,                0.57541,                0.49572,                0.29957,                 1.3395,                 1.6727,                  1.828,              0.0097525,              0.0097525,              0.0097525
                     27,                  1.148,                 1.3592,                 1.4664,                0.63341,                0.49399,                 0.5821,                0.36729,                 1.2951,                 1.4268,                 1.8316,              0.0097426,              0.0097426,              0.0097426
                     28,                 1.1311,                 1.2974,                  1.455,                0.56522,                0.51428,                 0.5523,                 0.3579,                 1.3092,                 1.3664,                 1.8255,              0.0097327,              0.0097327,              0.0097327
                     29,                 1.1299,                  1.299,                 1.4614,                0.72549,                 0.5075,                0.60939,                0.39741,                 1.3275,                 1.2922,                 1.8401,              0.0097228,              0.0097228,              0.0097228
                     30,                 1.1043,                 1.2531,                  1.443,                0.58248,                 0.5817,                0.58758,                 0.3656,                 1.3295,                  1.453,                 1.8406,              0.0097129,              0.0097129,              0.0097129
                     31,                 1.0911,                 1.2507,                 1.4348,                 0.6229,                0.55445,                0.57415,                0.36801,                 1.3073,                 1.3258,                 1.8268,               0.009703,               0.009703,               0.009703
                     32,                 1.1044,                 1.2493,                 1.4403,                0.51061,                 0.5606,                  0.557,                0.36156,                 1.3408,                 1.4217,                 1.8343,              0.0096931,              0.0096931,              0.0096931
                     33,                  1.103,                 1.2475,                 1.4387,                0.54706,                0.58067,                0.55426,                 0.3528,                 1.3154,                 1.3505,                 1.8417,              0.0096832,              0.0096832,              0.0096832
                     34,                  1.099,                 1.2216,                  1.436,                0.53482,                 0.6345,                0.60709,                 0.3855,                 1.3582,                 1.3479,                 1.8596,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.0774,                 1.1903,                 1.4187,                0.58315,                0.66205,                0.62671,                0.40538,                 1.2483,                 1.3308,                 1.7842,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.0677,                 1.1743,                 1.4073,                0.60376,                0.57181,                 0.6024,                0.38807,                 1.2792,                 1.3153,                 1.7932,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.0531,                 1.1606,                 1.4025,                0.63452,                0.51554,                0.61029,                0.39783,                 1.2746,                 1.3054,                 1.7873,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.0478,                 1.1837,                 1.4083,                0.59601,                0.60714,                0.63867,                0.41373,                 1.2732,                 1.2295,                 1.7885,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.0492,                 1.1401,                 1.3965,                0.59198,                0.56923,                0.58843,                0.38454,                 1.2556,                   1.42,                 1.7761,              0.0096238,              0.0096238,              0.0096238
