                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5694,                 2.8948,                 1.9706,                0.09885,                 0.3354,                0.12973,                 0.0537,                 1.9225,                  4.484,                 2.6411,             0.00027721,             0.00027721,             0.00027721
                      2,                 1.6748,                 2.6963,                 2.0252,                0.48416,                 0.3486,                0.19168,                  0.091,                 1.7087,                 2.9263,                 2.4737,             0.00055213,             0.00055213,             0.00055213
                      3,                 1.6093,                 2.6052,                 1.9471,                0.28619,                0.41624,                0.17915,                0.10309,                 1.6721,                  2.308,                 2.3547,             0.00082431,             0.00082431,             0.00082431
                      4,                 1.5572,                 2.5171,                  1.913,                0.39034,                0.27898,                0.19937,                0.10906,                 1.6264,                 2.2054,                 2.2839,             0.00082063,             0.00082063,             0.00082063
                      5,                  1.519,                 2.4478,                 1.8677,                0.42471,                0.32556,                0.24559,                0.15201,                 1.4819,                  2.106,                 2.1553,             0.00081651,             0.00081651,             0.00081651
                      6,                  1.482,                 2.3456,                 1.8468,                0.33493,                0.36801,                0.24284,                0.14055,                 1.5357,                 2.1252,                 2.1841,             0.00081238,             0.00081238,             0.00081238
                      7,                 1.4265,                 2.2674,                 1.8053,                0.20269,                0.42903,                0.27752,                0.17291,                 1.4666,                 1.9472,                 2.0871,             0.00080826,             0.00080826,             0.00080826
                      8,                 1.3876,                  2.197,                 1.7644,                0.33073,                0.39729,                0.27787,                0.17141,                 1.4099,                 1.9278,                 2.0507,             0.00080414,             0.00080414,             0.00080414
                      9,                 1.3566,                 2.1464,                 1.7388,                0.62319,                0.33729,                0.30777,                0.19835,                 1.3821,                 1.8319,                 2.0111,             0.00080001,             0.00080001,             0.00080001
                     10,                 1.3659,                 2.1464,                 1.7455,                0.48914,                0.37581,                0.29956,                0.18954,                 1.4104,                 1.8376,                 2.0504,             0.00079589,             0.00079589,             0.00079589
                     11,                  1.357,                 2.1065,                 1.7346,                 0.5964,                0.33455,                0.29992,                0.19708,                 1.3854,                 1.8488,                 2.0492,             0.00079177,             0.00079177,             0.00079177
                     12,                 1.3255,                 2.0539,                 1.7076,                0.16992,                0.43733,                0.31484,                0.20431,                 1.2701,                 1.7669,                 1.8881,             0.00078764,             0.00078764,             0.00078764
                     13,                  1.315,                 2.0146,                 1.7027,                0.60038,                0.34517,                0.32028,                0.20997,                 1.3802,                 1.7696,                 2.0037,             0.00078352,             0.00078352,             0.00078352
                     14,                 1.2953,                 1.9705,                 1.6822,                0.63118,                0.34454,                0.33012,                0.22659,                 1.2786,                 1.6916,                 1.9153,              0.0007794,              0.0007794,              0.0007794
                     15,                 1.2855,                 1.9801,                 1.6779,                0.25082,                0.46696,                0.33927,                0.21791,                  1.408,                 1.7357,                 2.0175,             0.00077527,             0.00077527,             0.00077527
